代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
952004,国君资管君得明混合,GJZGJDMHH,2021-11-01,2.7330,3.6830,-0.26,-2.66,-0.07,-0.75,-2.50,7.12,42.95,,-0.78,48.53,2019-08-30,1,6.4184,1.00%,0.10%,1,0.10%,1,
920928,中金进取回报混合C,ZJJQHBHHC,2021-11-01,1.2482,1.2482,0.10,-0.64,-0.63,-1.91,-2.64,,,,-3.68,-3.68,2020-12-24,1,-3.202408,0.00%,0.00%,,0.00%,0,
920927,中金恒瑞债券C,ZJHRZQC,2021-11-01,1.0876,1.1176,0.16,-0.11,-0.57,0.30,3.70,5.25,,,4.45,6.31,2020-06-03,1,5.0759,,0.00%,,,,
920923,中金新锐股票C,ZJXRGPC,2021-11-01,3.9623,3.9623,1.03,1.39,1.97,7.18,25.55,52.14,,,32.26,89.45,2020-04-07,1,43.5875,,0.00%,,,,
920922,中金精选股票C,ZJJXGPC,2021-11-01,1.9896,1.9896,0.55,-1.74,-0.61,0.16,-10.91,0.26,,,-11.36,2.91,2020-08-04,1,3.3937,0.00%,0.00%,,0.00%,0,
920921,中金安心回报灵活配置混合C,ZJAXHBLHPZHHC,2021-11-01,1.3748,1.3748,0.09,-0.23,-0.33,-0.97,-0.25,7.58,,,-1.33,12.11,2020-04-30,1,6.2586,,0.00%,,,,
920011,中金安心回报灵活配置混合A,ZJAXHBLHPZHHA,2021-11-01,1.3829,2.4289,0.09,-0.22,-0.30,-0.86,-0.04,8.01,,,-1,15.28,2020-04-30,1,6.6872,1.50%,1.50%,99,1.50%,99,
920008,中金进取回报混合A,ZJJQHBHHA,2021-11-01,1.2520,1.8985,0.10,-0.63,-0.60,-1.81,-2.45,,,,-6.22,-3.39,2020-12-24,1,-2.924608,1.50%,1.50%,99,1.50%,99,
920007,中金恒瑞债券A,ZJHRZQA,2021-11-01,1.0911,1.6918,0.17,-0.10,-0.54,0.40,3.90,5.67,,,4.79,6.53,2020-06-03,1,5.4947,0.60%,0.60%,99,0.60%,99,
920003,中金新锐股票A,ZJXRGPA,2021-11-01,3.9929,4.4729,1.03,1.40,2.01,7.31,25.86,52.90,,,32.81,91.79,2020-04-07,1,44.3027,1.50%,1.50%,99,1.50%,99,
