代码,基金,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立日,,,,,,手续费,,
952320,国君资管君得盈债券C,GJZGJDYZQC,2021-12-03,1.0633,1.0633,0.16,0.47,1.90,1.74,4.57,,,,,6.06,2021-01-28,1,3.261845,,0.00%,,,,
952313,国君资管君得益三个月持有混合C,GJZGJDYSGYCYHHC,2021-12-02,1.6045,1.6045,-0.40,0.12,2.23,1.96,5.94,14.67,,,8.38,14.57,2020-11-16,1,10.689803,,0.00%,,,,
952099,国君资管君得鑫两年持有期混合C,GJZGJDXLNCYQHHC,2021-12-03,2.2586,2.2586,1.48,1.19,3.15,-4.56,-11.31,-3.25,,,-6.68,31.99,2020-01-06,3,-3.0128,1.50%,0.15%,1,0.15%,1,
952035,国君资管君得诚混合,GJZGJDCHH,2021-12-03,1.2599,1.6028,0.86,0.03,3.11,-2.82,-13.13,-10.94,,,-15.17,22.33,2020-03-25,1,-8.5372,1.50%,0.15%,1,0.15%,1,
952024,国君资管君得盛债券,GJZGJDSZQ,2021-12-03,1.2467,1.6017,0.26,0.62,2.80,2.47,7.64,9.24,12.99,,8.65,13.25,2019-09-25,1,5.7859,0.70%,0.07%,1,0.07%,1,
952020,国君资管君得盈债券A,GJZGJDYZQA,2021-12-03,1.0663,1.3503,0.15,0.47,1.92,1.84,4.78,,,,,6.36,2021-01-28,1,3.501247,0.40%,0.04%,1,0.04%,1,
952013,国君资管君得益三个月持有混合A,GJZGJDYSGYCYHHA,2021-12-02,1.6103,1.8983,-0.40,0.14,2.27,2.07,6.16,13.92,,,8.77,14.99,2020-11-16,1,11.025421,1.20%,0.12%,1,0.12%,1,
952004,国君资管君得明混合,GJZGJDMHH,2021-12-03,2.8077,3.7577,1.53,0.95,2.41,1.97,-3.53,4.96,49.62,,1.93,52.59,2019-08-30,1,6.4184,1.00%,0.10%,1,0.10%,1,
920928,中金进取回报混合C,ZJJQHBHHC,2021-12-03,1.2507,1.2507,0.43,-0.03,0.20,-1.85,-2.48,,,,-3.49,-3.49,2020-12-24,1,-3.202408,0.00%,0.00%,,0.00%,0,
920927,中金恒瑞债券C,ZJHRZQC,2021-12-03,1.0992,1.1292,0.01,0.04,1.08,0.62,2.51,5.82,,,5.56,7.44,2020-06-03,1,5.0759,,0.00%,,,,
920926,中金汇越量化3个月定开混合C,ZJHYLH3GYDKHHC,2021-12-03,0.9924,0.9924,0.07,-0.01,-0.29,-0.76,-0.96,-5.26,,,-3.97,-8.15,2020-09-17,1,-7.2743,,0.00%,,,,
920923,中金新锐股票C,ZJXRGPC,2021-12-03,4.2349,4.2349,0.72,0.34,8.19,5.86,27.42,46.05,,,41.36,102.48,2020-04-07,1,43.5875,,0.00%,,,,
920922,中金精选股票C,ZJJXGPC,2021-12-03,1.9801,1.9801,0.70,0.22,1.53,-2.98,-14.65,-8.80,,,-11.79,2.42,2020-08-04,1,3.3937,0.00%,0.00%,,0.00%,0,
920921,中金安心回报灵活配置混合C,ZJAXHBLHPZHHC,2021-12-03,1.3786,1.3786,0.25,0.04,0.23,-0.89,-0.30,3.66,,,-1.06,12.42,2020-04-30,1,6.2586,,0.00%,,,,
920012,中金汇越量化3个月定开混合A,ZJHYLH3GYDKHHA,2021-12-03,0.9986,1.2356,0.07,0,-0.24,-0.64,-0.70,-4.76,,,-3.50,-7.57,2020-09-17,1,-6.7962,1.50%,1.50%,99,1.50%,99,
920011,中金安心回报灵活配置混合A,ZJAXHBLHPZHHA,2021-12-03,1.3872,2.4332,0.25,0.05,0.27,-0.79,-0.10,4.08,,,-0.69,15.64,2020-04-30,1,6.6872,1.50%,1.50%,99,1.50%,99,
920008,中金进取回报混合A,ZJJQHBHHA,2021-12-03,1.2550,1.9015,0.42,-0.02,0.23,-1.76,-2.28,,,,-6,-3.16,2020-12-24,1,-2.924608,1.50%,1.50%,99,1.50%,99,
920007,中金恒瑞债券A,ZJHRZQA,2021-12-03,1.1031,1.7038,0.01,0.05,1.11,0.72,2.71,6.24,,,5.95,7.70,2020-06-03,1,5.4947,0.60%,0.60%,99,0.60%,99,
920003,中金新锐股票A,ZJXRGPA,2021-12-03,4.2695,4.7495,0.72,0.35,8.23,5.99,27.73,46.77,,,42.01,105.08,2020-04-07,1,44.3027,1.50%,1.50%,99,1.50%,99,
920002,中金精选股票A,ZJJXGPA,2021-12-03,1.9933,5.7994,0.71,0.23,1.57,-2.86,-14.44,-8.33,,,-11.37,4.57,2020-08-04,1,3.9202,1.50%,1.50%,99,1.50%,99,
900152,中信证券臻选回报混合C,ZXZQZXHBHHC,2021-12-03,1.1950,1.1950,0.77,-0.21,-0.28,-0.25,-5.13,5.84,,,-0.14,8.27,2020-10-15,1,7.2797,,0.00%,,,,
900133,中信证券品质生活混合C,ZXZQPZSHHHC,2021-12-03,1.1056,3.9102,0.92,1.13,2.78,7.25,,,,,,-1.17,2021-07-16,1,-8.733351,,0.00%,,,,
900112,中信证券财富优选一年持有混合(FOF)C,ZXZQCFYXYNCYHHFOFC,2021-12-01,1.5541,2.7162,-0.34,-0.01,1.60,2.21,,,,,,0.69,2021-07-22,1,-2.759961,,0.00%,,,,
900100,中信卓越成长两年持有混合C,ZXZYCZLNCYHHC,2021-12-03,1.9426,3.6492,1.04,-0.13,4.14,1.30,-11.17,0.67,,,-2.97,31.11,2020-06-01,1,4.6273,,0.00%,,,,
900099,中信证券红利价值B,ZXZQHLJZB,2021-12-03,2.1087,3.0654,0.57,0.91,2,4.13,-5.27,5.70,63.66,,-3.38,65.75,2019-10-22,1,1.2980,1.50%,1.50%,99,1.50%,99,
900097,中信债券优化一年持有债C,ZXZQYHYNCYZC,2021-12-03,1.0861,1.9165,0.11,0.16,0.55,0.72,3.09,,,,,2.81,2021-05-31,1,1.666036,,0.00%,,,,
900090,中信卓越成长两年持有混合B,ZXZYCZLNCYHHB,2021-12-03,1.9632,3.6698,1.04,-0.12,4.20,1.47,-10.85,1.37,,,-2.35,32.50,2020-06-01,1,5.3557,1.50%,0.15%,1,0.15%,1,
900089,中信证券红利价值C,ZXZQHLJZC,2021-12-03,2.0735,3.0302,0.57,0.90,1.94,3.92,-5.64,4.86,61.06,,-4.09,62.99,2019-10-22,1,0.4893,,0.00%,,,,
900087,中信证券信远一年持有混合C,ZXZQXYYNCYHHC,2021-12-03,0.8258,0.8258,0.22,-0.95,0.11,-13.04,5.08,,,,,9.12,2021-03-31,1,9.315539,,0.00%,,,,
900079,中信证券臻选价值成长混合C,ZXZQZXJZCZHHC,2021-12-03,1.5610,2.3794,0.81,-0.41,-0.41,-1.53,-8.27,4.20,,,-4.57,36.45,2020-02-18,1,7.5228,,0.00%,,,,
